                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2256,                 3.3709,                 1.0872,                0.56483,                 0.3396,                0.40085,                 0.2747,                 1.1613,                 2.1578,                  1.068,               0.076024,                2.4e-05,                2.4e-05
                      2,                 1.1034,                 1.1648,                 1.0247,                0.78622,                0.84249,                0.91081,                0.65039,                 1.0391,                0.87367,                 1.0068,               0.051049,             4.8515e-05,             4.8515e-05
                      3,                0.94932,                0.66305,                0.95758,                0.86973,                0.86575,                0.93134,                 0.6689,                 1.0769,                0.68019,                  1.014,               0.026073,             7.2535e-05,             7.2535e-05
                      4,                0.99379,                0.62331,                 1.0029,                0.95298,                0.98569,                0.99017,                0.71225,                 1.0528,                0.51633,                 1.0119,              0.0010961,              9.606e-05,              9.606e-05
                      5,                0.93124,                0.54045,                0.92796,                0.94378,                0.98267,                0.99214,                0.72102,                 1.0055,                0.46018,                0.99603,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                0.95495,                0.50755,                 0.9665,                0.97001,                0.99156,                0.99165,                0.71043,                 1.0142,                0.44274,                0.99497,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                0.90095,                0.50106,                0.96297,                0.97732,                0.97672,                0.99127,                0.73854,                0.97633,                0.41778,                0.98337,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                0.95776,                0.50755,                0.96373,                0.95571,                0.99541,                0.99058,                0.71823,                 1.0429,                0.43535,                 1.0016,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                0.92073,                0.47454,                0.95014,                0.95574,                0.99225,                0.99165,                 0.7253,                  1.004,                0.43577,                0.98829,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                0.88069,                0.48517,                0.91985,                0.96733,                0.97001,                0.99186,                0.73911,                0.97192,                0.43361,                0.99545,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                0.86844,                 0.4495,                0.92951,                0.97363,                0.99097,                0.99191,                0.74387,                0.96501,                0.42172,                 1.0045,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                0.90286,                0.44424,                0.93518,                0.96607,                 0.9925,                0.99203,                 0.7429,                0.98313,                0.39399,                 1.0138,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.85204,                0.41868,                0.92728,                0.97457,                0.98485,                0.99183,                0.74074,                0.96426,                0.39857,                 1.0071,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                0.85842,                0.41311,                0.92629,                0.97305,                0.98763,                0.99273,                0.75824,                0.98735,                0.39177,                0.99417,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.88188,                0.42216,                0.93594,                0.98032,                0.99445,                0.99255,                0.74738,                0.98074,                0.38023,                0.98634,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.81928,                0.39643,                0.88719,                0.98585,                 0.9912,                0.99221,                0.74524,                0.99467,                0.39222,                0.98412,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.82584,                0.39213,                0.92808,                0.96666,                0.98876,                 0.9922,                0.75884,                0.96403,                0.38087,                0.97485,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.86062,                0.40693,                0.92165,                0.97825,                 0.9913,                0.99222,                0.75033,                0.99641,                0.39228,                0.99934,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                0.86245,                 0.4011,                0.93475,                0.97593,                0.99695,                0.99175,                0.75259,                 1.0116,                 0.4012,                 1.0065,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.84081,                0.40134,                0.91326,                0.97537,                0.98836,                0.99124,                0.75118,                 1.0154,                0.39115,                 1.0052,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.85009,                0.39032,                0.93256,                0.97445,                0.98603,                0.99211,                0.75038,                0.96493,                0.37757,                0.97896,              8.119e-05,              8.119e-05,              8.119e-05
                     22,                0.81118,                0.38473,                0.91969,                0.97889,                0.99263,                0.99107,                0.76111,                0.97345,                0.37856,                0.98819,               8.02e-05,               8.02e-05,               8.02e-05
                     23,                0.84312,                0.38964,                0.91617,                0.97998,                0.99338,                0.99071,                0.75236,                0.97167,                0.37285,                0.98539,              7.921e-05,              7.921e-05,              7.921e-05
                     24,                0.82297,                0.39218,                0.90462,                0.97284,                0.99386,                 0.9903,                0.74278,                 0.9898,                 0.3855,                0.98476,              7.822e-05,              7.822e-05,              7.822e-05
                     25,                0.78824,                0.38011,                 0.8697,                0.97239,                0.99695,                 0.9904,                 0.7523,                0.97645,                0.38398,                0.97304,              7.723e-05,              7.723e-05,              7.723e-05
